snow,0,0,83
snow,1,0,77
snow,2,0,47
snow,3,0,41
snow,5,0,6
snow,6,0,16
snow,7,0,59
snow,8,0,4
snow,9,0,8
snow,10,0,8
snow,11,0,6
snow,12,0,6
snow,13,0,16
snow,0,1,77
snow,1,1,4
snow,2,1,8
snow,3,1,6
snow,6,1,78
snow,7,1,9
snow,8,1,19
snow,13,1,13
snow,14,1,29
snow,38,1,83
snow,39,1,89
snow,0,2,35
snow,35,2,69
snow,36,2,22
snow,37,2,77
snow,38,2,89
snow,39,2,89
snow,35,3,2
snow,36,3,11
snow,37,3,77
snow,38,3,89
snow,39,3,89
snow,34,4,56
snow,35,4,40
snow,36,4,77
snow,37,4,77
snow,38,4,89
snow,39,4,89
snow,35,5,15
snow,36,5,17
snow,37,5,83
snow,38,5,89
snow,39,5,89
snow,35,6,14
snow,36,6,71
snow,37,6,77
snow,38,6,89
snow,39,6,89
snow,31,7,68
snow,32,7,0
snow,33,7,3
snow,34,7,0
snow,35,7,22
snow,36,7,77
snow,37,7,83
snow,38,7,89
snow,39,7,89
snow,31,8,15
snow,32,8,41
snow,33,8,35
snow,34,8,11
snow,35,8,77
snow,36,8,83
snow,37,8,89
snow,38,8,89
snow,39,8,89
snow,31,9,78
snow,32,9,8
snow,33,9,8
snow,34,9,16
snow,35,9,77
snow,36,9,83
snow,37,9,89
snow,38,9,89
snow,39,9,89
snow,34,10,13
snow,35,10,53
snow,36,10,77
snow,37,10,83
snow,38,10,89
snow,39,10,89
snow,34,11,80
snow,35,11,9
snow,36,11,16
snow,37,11,77
snow,38,11,83
snow,39,11,89
snow,36,12,14
snow,37,12,47
snow,38,12,83
snow,39,12,89
snow,36,13,13
snow,39,13,83
snow,20,14,14
snow,21,14,21
snow,36,14,13
snow,18,15,14
snow,19,15,1
snow,20,15,22
snow,21,15,20
snow,18,16,15
snow,19,16,47
snow,20,16,77
snow,21,16,10
snow,22,16,1
snow,23,16,18
snow,24,16,1
snow,25,16,20
snow,18,17,14
snow,19,17,11
snow,20,17,77
snow,21,17,77
snow,22,17,35
snow,23,17,5
snow,24,17,47
snow,25,17,20
snow,1,18,0
snow,2,18,1
snow,18,18,14
snow,19,18,53
snow,20,18,77
snow,21,18,83
snow,22,18,77
snow,23,18,77
snow,25,18,20
snow,1,19,65
snow,15,19,1
snow,16,19,0
snow,17,19,3
snow,18,19,22
snow,19,19,77
snow,20,19,83
snow,21,19,89
snow,22,19,83
snow,23,19,83
snow,16,20,71
snow,17,20,47
snow,18,20,77
snow,19,20,83
snow,20,20,89
snow,21,20,89
snow,17,21,77
snow,18,21,83
snow,19,21,89
snow,20,21,89
snow,21,21,89
dirt,14,0,89
dirt,15,0,89
dirt,16,0,83
dirt,17,0,77
dirt,18,0,65
dirt,19,0,35
dirt,20,0,47
dirt,22,0,7
dirt,23,0,9
dirt,24,0,8
dirt,15,1,77
dirt,16,1,59
dirt,17,1,4
dirt,18,1,9
dirt,19,1,6
dirt,20,1,9
dirt,1,2,20
dirt,13,2,12
dirt,14,2,23
dirt,15,2,4
dirt,16,2,9
dirt,17,2,84
dirt,0,3,35
dirt,1,3,19
dirt,13,3,15
dirt,14,3,17
dirt,15,3,21
dirt,0,4,5
dirt,1,4,18
dirt,13,4,12
dirt,14,4,41
dirt,15,4,20
dirt,0,5,17
dirt,1,5,18
dirt,13,5,78
dirt,14,5,8
dirt,15,5,84
dirt,0,6,29
dirt,1,6,20
dirt,0,7,65
dirt,1,7,18
dirt,1,8,84
dirt,37,13,5
dirt,38,13,83
dirt,38,13,89
dirt,37,14,5
dirt,38,14,83
dirt,39,14,89
dirt,36,15,78
dirt,37,15,16
dirt,38,15,77
dirt,39,15,89
dirt,10,16,66
dirt,11,16,0
dirt,12,16,72
crushBlock,10,12,0
dirt,37,16,12
dirt,38,16,5
dirt,39,16,83
dirt,10,17,14
dirt,11,17,35
dirt,12,17,25
dirt,37,17,78
dirt,38,17,16
dirt,39,17,83
dirt,3,18,2
dirt,4,18,72
dirt,10,18,12
dirt,11,18,11
dirt,12,18,20
dirt,24,18,23
dirt,38,18,78
dirt,39,18,16
dirt,0,19,89
dirt,2,19,47
dirt,3,19,23
dirt,4,19,20
dirt,10,19,14
dirt,11,19,11
dirt,12,19,10
dirt,13,19,3
dirt,14,19,1
dirt,24,19,41
dirt,25,19,59
dirt,39,19,12
dirt,0,20,89
dirt,1,20,83
dirt,2,20,77
dirt,3,20,17
dirt,4,20,19
dirt,10,20,14
dirt,11,20,29
dirt,12,20,83
dirt,13,20,29
dirt,14,20,17
dirt,15,20,11
dirt,22,20,89
dirt,23,20,83
dirt,24,20,77
dirt,25,20,10
dirt,26,20,2
dirt,27,20,1
dirt,28,20,72
dirt,39,20,13
dirt,0,21,89
dirt,1,21,89
dirt,2,21,83
dirt,3,21,77
dirt,4,21,10
dirt,5,21,3
dirt,6,21,0
dirt,7,21,0
dirt,8,21,2
dirt,9,21,2
dirt,10,21,22
dirt,11,21,77
dirt,12,21,83
dirt,13,21,89
dirt,14,21,89
dirt,15,21,89
dirt,16,21,89
dirt,22,21,89
dirt,23,21,89
dirt,24,21,83
dirt,25,21,77
dirt,26,21,17
dirt,27,21,59
dirt,28,21,20
dirt,39,21,12
girder,4,0,4
girder,21,0,4
girder,4,1,12
girder,21,1,12
girder,4,2,12
girder,8,2,12
girder,21,2,12
girder,4,3,12
girder,5,3,6
girder,6,3,3
girder,8,3,12
girder,21,3,4
girder,4,4,12
girder,8,4,12
girder,4,5,12
girder,8,5,12
girder,4,6,4
girder,5,6,9
girder,6,6,9
girder,7,6,9
girder,8,6,4
girder,0,8,4
girder,0,9,12
girder,0,10,12
